lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,wp1,wp2,wprel,y
19.0,18.5,1.03,4608.0,5481.0,0.84,9.0,8.5,1.06,1,2,0.5,1.0,1.0,1.0,0.0
11.0,7.0,1.57,1344.0,720.0,1.87,5.0,1.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0
12.0,19.0,0.63,1568.0,4480.0,0.35,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
14.0,2.0,7.0,2304.0,216.0,10.67,6.0,1.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0
20.0,6.0,3.33,4536.0,525.0,8.64,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
4.0,9.33,0.43,384.0,1443.0,0.27,2.0,4.33,0.46,1,3,0.33,1.0,1.94,0.52,0.0
10.33,10.8,0.96,2176.0,1534.2,1.42,4.67,1.0,4.67,3,5,0.6,1.0,1.92,0.52,0.0
5.0,4.0,1.25,500.0,400.0,1.25,3.0,2.0,1.5,1,1,1.0,1.0,1.0,1.0,1.0
2.0,8.8,0.23,256.0,1287.6,0.2,1.0,4.0,0.25,1,5,0.2,1.0,1.8900000000000001,0.53,0.0
5.0,6.0,0.83,432.0,600.0,0.72,3.0,3.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
10.0,16.0,0.62,880.0,2835.0,0.31,4.0,7.0,0.57,1,1,1.0,1.0,1.0,1.0,0.0
17.0,17.0,1.0,3024.0,2880.0,1.05,8.0,1.0,8.0,1,1,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,180.0,180.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
5.71,6.67,0.86,721.71,1248.0,0.58,3.0,3.33,0.9,7,3,2.33,2.1799999999999997,1.77,1.23,1.0
15.0,16.0,0.94,2688.0,2940.0,0.91,7.0,7.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
8.67,6.0,1.45,1414.67,504.0,2.81,4.33,3.0,1.44,6,2,3.0,1.0,1.0,1.0,1.0
18.0,8.0,2.25,3920.0,1008.0,3.89,8.0,4.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0
8.0,15.0,0.53,840.0,3240.0,0.26,4.0,7.0,0.57,1,1,1.0,1.0,1.0,1.0,0.0
13.0,17.0,0.76,1792.0,3528.0,0.51,1.0,8.0,0.12,1,1,1.0,1.0,1.0,1.0,0.0
5.0,9.0,0.56,480.0,1080.0,0.44,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,0.0
3.0,11.88,0.25,288.0,2102.5,0.14,1.0,1.0,1.0,1,8,0.12,1.0,1.0,1.0,0.0
14.0,4.0,3.5,2688.0,336.0,8.0,6.0,1.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0
12.83,10.43,1.23,3069.5,1907.57,1.61,5.83,4.71,1.24,6,7,0.86,2.25,1.0,2.25,0.0
14.14,11.12,1.27,2881.0,2505.25,1.15,6.57,5.12,1.28,7,8,0.88,2.23,2.13,1.05,1.0
5.0,11.2,0.45,480.0,1902.2,0.25,1.0,1.0,1.0,1,5,0.2,1.0,1.0,1.0,0.0
8.0,13.0,0.62,800.0,3240.0,0.25,1.0,6.0,0.17,1,1,1.0,1.0,1.0,1.0,0.0
5.0,3.0,1.67,420.0,288.0,1.46,3.0,2.0,1.5,1,1,1.0,1.0,1.0,1.0,1.0
2.0,20.0,0.1,240.0,5040.0,0.05,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
3.0,9.25,0.32,300.0,1527.0,0.2,2.0,4.5,0.44,1,4,0.25,1.0,1.0,1.0,0.0
14.0,4.0,3.5,3136.0,336.0,9.33,6.0,2.0,3.0,1,1,1.0,1.0,1.0,1.0,1.0
16.0,9.33,1.71,2500.0,1608.67,1.55,7.0,4.33,1.62,1,6,0.17,1.0,1.8,0.56,0.0
18.0,15.0,1.2,3300.0,3150.0,1.05,8.0,7.0,1.14,1,1,1.0,1.0,1.0,1.0,1.0
3.0,20.0,0.15,320.0,6804.0,0.05,1.0,9.0,0.11,1,1,1.0,1.8900000000000001,1.92,0.98,0.0
11.33,8.75,1.29,2440.0,1125.0,2.17,5.33,1.0,5.33,3,8,0.38,1.92,1.8199999999999998,1.05,0.0
11.2,9.4,1.19,2409.0,1442.2,1.67,5.4,4.2,1.29,5,5,1.0,1.0,1.8399999999999999,0.54,1.0
7.67,10.0,0.77,1189.33,1680.29,0.71,3.67,1.0,3.67,3,7,0.43,1.78,1.0,1.78,0.0
19.0,11.0,1.73,6912.0,2016.2,3.43,9.0,5.0,1.8,1,5,0.2,1.0,1.88,0.53,0.0
1.0,11.0,0.09,192.0,1764.0,0.11,1.0,5.0,0.2,1,1,1.0,1.0,1.0,1.0,0.0
9.0,13.0,0.69,1400.0,2240.0,0.62,4.0,6.0,0.67,1,1,1.0,1.0,1.0,1.0,0.0
2.0,7.0,0.29,240.0,648.0,0.37,1.0,4.0,0.25,1,1,1.0,1.8900000000000001,1.0,1.89,0.0
8.0,13.14,0.61,916.0,2527.14,0.36,3.8,6.29,0.6,5,7,0.71,1.0,1.0,1.0,0.0
13.0,12.5,1.04,2340.0,2320.0,1.01,6.0,1.0,6.0,1,2,0.5,1.0,1.0,1.0,0.0
16.0,14.12,1.13,2640.0,2262.75,1.17,1.0,1.0,1.0,1,8,0.12,1.8,1.8199999999999998,0.99,0.0
4.0,11.6,0.34,472.5,1993.6,0.24,2.0,5.4,0.37,2,5,0.4,1.0,1.0,1.0,0.0
10.8,8.0,1.35,1622.4,1203.0,1.35,5.0,3.8,1.32,5,5,1.0,1.0,1.92,0.52,1.0
9.0,6.0,1.5,1140.0,640.0,1.78,1.0,3.0,0.33,5,2,2.5,1.0,1.0,1.0,1.0
5.0,1.0,5.0,432.0,180.0,2.4,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,1.0
11.0,9.0,1.22,1600.0,1050.0,1.52,5.0,4.0,1.25,1,1,1.0,1.78,1.0,1.78,1.0
2.0,17.0,0.12,216.0,3360.0,0.06,1.0,8.0,0.12,1,1,1.0,1.0,1.0,1.0,0.0
6.0,2.0,3.0,540.0,256.0,2.11,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,1.0
5.0,19.0,0.26,540.0,5184.0,0.1,3.0,9.0,0.33,1,1,1.0,1.0,1.0,1.0,0.0
10.0,10.0,1.0,1200.0,1260.0,0.95,4.0,4.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
8.67,11.4,0.76,1920.0,1991.4,0.96,4.33,5.4,0.8,3,5,0.6,1.0,1.0,1.0,0.0
4.0,10.0,0.4,512.0,1344.0,0.38,2.0,4.0,0.5,1,1,1.0,1.0,1.0,1.0,0.0
18.0,14.0,1.29,3024.0,2100.0,1.44,1.0,6.0,0.17,1,1,1.0,1.0,1.0,1.0,0.0
15.0,9.0,1.67,2880.0,1008.0,2.86,7.0,4.0,1.75,1,1,1.0,1.8199999999999998,1.0,1.82,1.0
14.0,19.0,0.74,2160.0,3822.0,0.57,1.0,9.0,0.11,1,1,1.0,1.0,1.0,1.0,0.0
18.0,14.0,1.29,2940.0,2310.0,1.27,1.0,6.0,0.17,1,1,1.0,1.97,1.0,1.97,1.0
3.0,10.0,0.3,270.0,1176.0,0.23,2.0,1.0,2.0,1,1,1.0,1.0,1.0,1.0,0.0
3.0,7.0,0.43,320.0,768.0,0.42,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,0.0
4.0,12.0,0.33,375.0,1680.0,0.22,1.0,5.0,0.2,1,1,1.0,1.0,1.0,1.0,0.0
2.0,3.0,0.67,240.0,300.0,0.8,1.0,2.0,0.5,1,1,1.0,1.0,1.8399999999999999,0.54,0.0
19.0,5.0,3.8,3960.0,450.0,8.8,9.0,1.0,9.0,1,1,1.0,1.0,1.0,1.0,1.0
12.0,7.0,1.71,2800.0,756.0,3.7,5.0,4.0,1.25,1,1,1.0,1.8199999999999998,1.0,1.82,1.0
10.12,18.0,0.56,1961.0,4016.33,0.49,5.0,8.33,0.6,8,3,2.67,1.8900000000000001,1.0,1.89,1.0
14.0,11.0,1.27,1920.0,1400.0,1.37,6.0,5.0,1.2,1,1,1.0,1.0,1.0,1.0,1.0
9.0,13.29,0.68,1008.0,2506.86,0.4,4.0,6.0,0.67,1,7,0.14,1.0,1.0,1.0,0.0
11.0,9.0,1.22,1080.0,840.0,1.29,5.0,4.0,1.25,1,1,1.0,1.0,1.0,1.0,1.0
20.0,19.0,1.05,4620.0,4950.0,0.93,9.0,9.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
10.0,16.0,0.62,1440.0,3024.0,0.48,4.0,7.0,0.57,1,1,1.0,1.0,1.0,1.0,0.0
13.0,2.0,6.5,2100.0,216.0,9.72,6.0,1.0,6.0,1,1,1.0,1.0,1.0,1.0,1.0
8.0,14.0,0.57,1440.0,2160.0,0.67,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,0.0
2.0,17.0,0.12,240.0,2940.0,0.08,1.0,8.0,0.12,1,1,1.0,1.0,1.8900000000000001,0.53,0.0
14.0,10.5,1.33,2160.0,1912.0,1.13,1.0,5.0,0.2,1,6,0.17,1.0,2.13,0.47,0.0
13.0,10.6,1.23,1890.0,1846.0,1.02,1.0,1.0,1.0,1,5,0.2,1.0,1.0,1.0,0.0
8.4,11.2,0.75,1312.8,1639.6,0.8,4.0,1.0,4.0,5,5,1.0,1.0,1.0,1.0,1.0
15.0,6.0,2.5,3584.0,630.0,5.69,7.0,3.0,2.33,1,1,1.0,1.0,1.0,1.0,1.0
16.0,9.0,1.78,2520.0,900.0,2.8,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
15.0,8.8,1.7,3430.0,1936.0,1.77,7.0,4.2,1.67,1,5,0.2,1.8199999999999998,1.97,0.92,0.0
2.0,9.0,0.22,256.0,1536.0,0.17,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,0.0
11.0,19.0,0.58,1620.0,5616.0,0.29,5.0,9.0,0.56,1,1,1.0,1.0,1.0,1.0,0.0
11.33,3.0,3.78,2005.33,320.0,6.27,5.33,2.0,2.67,6,1,6.0,1.0,1.0,1.0,1.0
8.71,12.0,0.73,1000.43,1948.67,0.51,1.0,5.67,0.18,7,3,2.33,1.76,1.0,1.76,1.0
