lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,wp1,wp2,wprel,y
4.0,7.0,0.57,375.0,588.0,0.64,2.0,4.0,0.5,1,1,1.0,1.0,1.0,1.0,0.0
8.0,5.0,1.6,1350.0,448.0,3.01,4.0,3.0,1.33,1,1,1.0,1.0,1.0,1.0,1.0
9.0,13.0,0.69,1008.0,1680.0,0.6,4.0,6.0,0.67,1,1,1.0,1.0,1.0,1.0,0.0
8.0,10.0,0.8,864.0,1200.0,0.72,4.0,4.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
18.0,12.0,1.5,6912.0,1963.57,3.52,8.0,1.0,8.0,1,7,0.14,1.0,2.1799999999999997,0.46,0.0
19.0,11.6,1.64,5400.0,1615.0,3.34,9.0,5.4,1.67,1,5,0.2,1.0,1.0,1.0,0.0
16.0,15.0,1.07,3780.0,3456.0,1.09,7.0,7.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
10.0,6.62,1.51,1482.12,727.0,2.04,4.75,3.12,1.52,8,8,1.0,1.77,1.9,0.93,1.0
10.0,10.0,1.0,1440.0,1536.0,0.94,4.0,4.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
13.0,15.0,0.87,2880.0,3024.0,0.95,6.0,7.0,0.86,1,1,1.0,1.77,1.0,1.77,0.0
10.0,14.0,0.71,1620.0,3840.0,0.42,4.0,6.0,0.67,1,1,1.0,1.0,1.0,1.0,0.0
20.0,12.75,1.57,3872.0,2797.25,1.38,9.0,5.88,1.53,1,8,0.12,1.0,1.8900000000000001,0.53,0.0
7.0,6.0,1.17,672.0,432.0,1.56,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
6.0,13.0,0.46,540.0,2250.0,0.24,1.0,6.0,0.17,1,1,1.0,1.0,1.0,1.0,0.0
6.0,20.0,0.3,560.0,4368.0,0.13,3.0,9.0,0.33,1,1,1.0,1.0,1.0,1.0,0.0
8.0,8.0,1.0,900.0,720.0,1.25,4.0,4.0,1.0,1,1,1.0,1.8900000000000001,1.0,1.89,1.0
1.0,1.0,1.0,180.0,162.0,1.11,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
19.0,11.2,1.7,5376.0,1872.0,2.87,9.0,5.2,1.73,1,5,0.2,1.0,1.8,0.56,0.0
6.0,20.0,0.3,504.0,8640.0,0.06,3.0,9.0,0.33,1,1,1.0,1.0,1.0,1.0,0.0
12.0,17.0,0.71,1764.0,4200.0,0.42,5.0,8.0,0.62,1,1,1.0,1.0,1.0,1.0,0.0
6.0,6.0,1.0,600.0,720.0,0.83,3.0,3.5,0.86,1,2,0.5,1.0,1.0,1.0,0.0
10.0,5.0,2.0,1440.0,450.0,3.2,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0
5.0,11.5,0.43,510.0,1536.0,0.33,2.5,1.0,2.5,2,2,1.0,1.0,1.0,1.0,0.0
7.0,1.0,7.0,576.0,192.0,3.0,1.0,1.0,1.0,1,1,1.0,1.0,1.8900000000000001,0.53,0.0
2.0,18.0,0.11,225.0,3920.0,0.06,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
5.0,10.0,0.5,500.0,1008.0,0.5,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,1.0
7.8,5.5,1.42,1314.6,568.5,2.31,4.0,2.5,1.6,5,2,2.5,1.92,1.76,1.09,1.0
14.0,6.67,2.1,2339.0,956.83,2.44,1.0,3.17,0.32,6,6,1.0,1.0,1.0,1.0,1.0
8.0,7.4,1.08,1424.0,962.2,1.48,3.8,3.6,1.06,5,5,1.0,1.76,1.0,1.76,0.0
19.0,4.0,4.75,5760.0,432.0,13.33,9.0,2.0,4.5,1,1,1.0,1.0,1.0,1.0,1.0
13.43,10.6,1.27,2761.14,1589.2,1.74,6.14,5.0,1.23,7,5,1.4,1.0,1.0,1.0,1.0
3.0,7.0,0.43,320.0,900.0,0.36,1.0,4.0,0.25,1,1,1.0,1.94,1.0,1.94,0.0
5.0,4.0,1.25,500.0,400.0,1.25,3.0,2.0,1.5,1,1,1.0,1.0,1.8199999999999998,0.55,0.0
8.25,15.0,0.55,1272.0,3412.0,0.37,4.0,7.0,0.57,8,2,4.0,1.8399999999999999,1.88,0.98,1.0
16.0,12.0,1.33,4032.0,1728.0,2.33,7.0,5.0,1.4,1,1,1.0,1.0,1.0,1.0,1.0
10.0,7.0,1.43,1176.0,576.0,2.04,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,1.0
11.0,3.0,3.67,1120.0,300.0,3.73,5.0,1.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0
2.0,10.0,0.2,216.0,1080.0,0.2,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,0.0
