lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,wp1,wp2,wprel,y
14.0,12.33,1.14,2160.0,2680.0,0.81,6.0,5.67,1.06,1,3,0.33,1.0,1.0,1.0,0.0
19.0,20.0,0.95,3960.0,6804.0,0.58,9.0,9.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
18.0,14.5,1.24,3240.0,2835.0,1.14,8.0,6.5,1.23,1,4,0.25,1.0,1.0,1.0,0.0
12.0,9.86,1.22,2410.4,1734.57,1.39,5.6,4.57,1.23,5,7,0.71,2.0700000000000003,1.92,1.08,0.0
15.0,14.0,1.07,2744.0,2268.0,1.21,7.0,6.0,1.17,1,1,1.0,1.0,1.0,1.0,1.0
11.5,18.0,0.64,1664.0,3816.0,0.44,1.0,1.0,1.0,4,2,2.0,1.88,1.92,0.98,1.0
6.8,6.75,1.01,1107.0,2147.5,0.52,3.2,3.25,0.98,5,4,1.25,1.92,1.0,1.92,0.0
20.0,19.0,1.05,6048.0,4320.0,1.4,9.0,9.0,1.0,1,1,1.0,1.0,1.78,0.56,1.0
14.0,13.0,1.08,2160.0,1792.0,1.21,6.0,6.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
12.0,5.0,2.4,1512.0,448.0,3.38,1.0,3.0,0.33,1,1,1.0,1.0,1.0,1.0,1.0
12.0,12.0,1.0,1620.0,2016.0,0.8,5.0,5.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
13.0,14.0,0.93,2400.0,3319.12,0.72,6.0,6.25,0.96,1,8,0.12,1.8399999999999999,1.0,1.84,0.0
5.5,12.25,0.45,648.0,2386.0,0.27,2.5,5.5,0.45,2,4,0.5,1.0,1.8199999999999998,0.55,0.0
1.0,10.5,0.1,192.0,1240.0,0.15,1.0,5.0,0.2,1,2,0.5,1.0,1.0,1.0,0.0
13.0,4.0,3.25,2016.0,394.0,5.12,1.0,2.5,0.4,1,2,0.5,1.0,1.0,1.0,1.0
14.0,5.0,2.8,2000.0,378.0,5.29,1.0,3.0,0.33,1,1,1.0,1.0,1.0,1.0,1.0
6.0,15.0,0.4,504.0,3104.0,0.16,1.0,6.67,0.15,1,3,0.33,1.0,1.9,0.53,0.0
14.0,11.5,1.22,4340.0,1960.0,2.21,6.5,1.0,6.5,2,2,1.0,1.0,1.0,1.0,1.0
7.0,15.0,0.47,750.0,2400.0,0.31,4.0,7.0,0.57,1,1,1.0,1.0,1.0,1.0,0.0
12.0,15.0,0.8,2361.88,2845.0,0.83,5.5,6.67,0.82,8,3,2.67,1.92,1.87,1.03,1.0
8.0,10.0,0.8,1377.6,2684.0,0.51,4.0,4.67,0.86,5,3,1.67,1.0,1.8900000000000001,0.53,1.0
3.0,9.0,0.33,300.0,1440.0,0.21,2.0,4.0,0.5,1,1,1.0,1.0,1.0,1.0,0.0
19.0,11.4,1.67,4374.0,2191.2,2.0,9.0,1.0,9.0,1,5,0.2,1.0,2.19,0.46,0.0
9.0,13.0,0.69,810.0,2016.0,0.4,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,0.0
18.0,9.6,1.88,3888.0,1098.0,3.54,1.0,4.6,0.22,1,5,0.2,1.0,2.19,0.46,0.0
3.0,15.0,0.2,252.0,1920.0,0.13,2.0,1.0,2.0,1,1,1.0,1.0,1.0,1.0,0.0
17.0,12.43,1.37,3528.0,1898.57,1.86,1.0,1.0,1.0,1,7,0.14,1.0,2.06,0.49,0.0
8.0,10.29,0.78,1200.0,1706.43,0.7,4.0,4.71,0.85,1,7,0.14,1.0,1.88,0.53,0.0
8.0,1.0,8.0,875.0,180.0,4.86,1.0,1.0,1.0,1,1,1.0,1.8900000000000001,1.92,0.98,1.0
6.0,6.0,1.0,504.0,1000.0,0.5,3.0,3.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
4.0,17.0,0.24,400.0,3150.0,0.13,2.0,8.0,0.25,1,1,1.0,1.87,1.0,1.87,0.0
1.0,14.0,0.07,192.0,2670.0,0.07,1.0,6.5,0.15,1,4,0.25,1.0,1.8199999999999998,0.55,0.0
12.5,6.0,2.08,2496.0,540.0,4.62,6.0,3.0,2.0,2,1,2.0,1.0,1.0,1.0,1.0
10.33,8.4,1.23,1415.0,1572.8,0.9,1.0,4.2,0.24,6,5,1.2,1.0,1.9,0.53,0.0
11.0,19.0,0.58,1400.0,4704.0,0.3,1.0,9.0,0.11,1,1,1.0,1.0,1.0,1.0,0.0
4.0,13.0,0.31,375.0,2588.0,0.14,2.5,5.67,0.44,2,3,0.67,1.0,1.0,1.0,0.0
5.0,20.0,0.25,324.0,6480.0,0.05,3.0,9.0,0.33,1,1,1.0,1.0,1.0,1.0,0.0
18.0,11.83,1.52,3920.0,2946.67,1.33,1.0,5.5,0.18,1,6,0.17,1.0,1.8199999999999998,0.55,0.0
11.0,11.0,1.0,1680.0,1780.67,0.94,5.0,5.33,0.94,1,3,0.33,1.0,1.0,1.0,0.0
17.0,19.0,0.89,2750.0,3850.0,0.71,8.0,9.0,0.89,1,1,1.0,1.0,1.0,1.0,0.0
16.0,10.0,1.6,2880.0,1225.0,2.35,7.0,4.0,1.75,1,1,1.0,1.78,1.0,1.78,1.0
10.5,8.0,1.31,1218.0,1413.0,0.86,5.0,4.0,1.25,2,2,1.0,1.0,1.0,1.0,1.0
9.0,10.75,0.84,810.0,1489.0,0.54,4.0,1.0,4.0,1,4,0.25,1.0,1.8900000000000001,0.53,0.0
1.0,1.0,1.0,180.0,180.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
17.0,6.29,2.7,3456.0,853.43,4.05,1.0,3.14,0.32,1,7,0.14,1.0,1.9,0.53,0.0
17.0,11.86,1.43,4032.0,2834.0,1.42,8.0,5.29,1.51,1,7,0.14,1.0,1.0,1.0,0.0
3.0,20.0,0.15,320.0,3584.0,0.09,2.0,1.0,2.0,1,1,1.0,1.92,1.0,1.92,0.0
18.0,15.0,1.2,3840.0,3240.0,1.19,8.0,7.0,1.14,1,1,1.0,1.0,1.0,1.0,1.0
17.0,12.0,1.42,5400.0,1500.0,3.6,8.0,1.0,8.0,1,1,1.0,1.92,1.0,1.92,1.0
11.0,8.0,1.38,1050.0,800.0,1.31,5.0,4.0,1.25,1,1,1.0,1.0,1.0,1.0,1.0
11.0,8.0,1.38,1728.0,1250.29,1.38,5.0,4.0,1.25,1,7,0.14,1.0,1.0,1.0,0.0
2.0,9.75,0.21,240.0,1854.75,0.13,1.0,4.75,0.21,1,8,0.12,1.0,2.1,0.48,0.0
2.0,12.0,0.17,240.0,2016.0,0.12,1.0,5.0,0.2,1,1,1.0,1.0,1.76,0.57,0.0
9.67,11.29,0.86,1788.0,1755.86,1.02,4.33,1.0,4.33,3,7,0.43,1.0,1.8900000000000001,0.53,0.0
17.0,11.43,1.49,4320.0,1881.43,2.3,8.0,5.14,1.56,1,7,0.14,1.0,1.0,1.0,0.0
5.0,16.0,0.31,540.0,2700.0,0.2,3.0,7.0,0.43,1,1,1.0,1.0,1.0,1.0,0.0
3.0,9.0,0.33,288.0,1150.5,0.25,2.0,1.0,2.0,1,6,0.17,1.92,1.0,1.92,0.0
17.0,11.0,1.55,5760.0,1512.0,3.81,8.0,5.0,1.6,1,1,1.0,1.0,1.0,1.0,1.0
10.0,16.0,0.62,1200.0,3000.0,0.4,1.0,7.0,0.14,1,1,1.0,1.0,1.0,1.0,0.0
17.0,7.88,2.16,3456.0,1131.0,3.06,8.0,3.75,2.13,1,8,0.12,1.0,1.9,0.53,0.0
9.0,1.0,9.0,980.0,180.0,5.44,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
9.0,10.5,0.86,896.0,1927.25,0.46,4.0,5.12,0.78,1,8,0.12,1.0,1.8399999999999999,0.54,0.0
12.12,14.4,0.84,2521.25,3761.6,0.67,5.62,6.6,0.85,8,5,1.6,1.87,1.0,1.87,1.0
9.0,14.0,0.64,1050.0,3136.0,0.33,4.0,6.0,0.67,1,1,1.0,1.0,1.0,1.0,1.0
15.0,10.75,1.4,2592.0,1789.62,1.45,7.0,5.0,1.4,1,8,0.12,1.0,1.0,1.0,0.0
7.0,5.0,1.4,864.0,480.0,1.8,4.0,3.0,1.33,1,1,1.0,1.0,1.0,1.0,0.0
19.0,18.0,1.06,4320.0,3780.0,1.14,1.0,8.0,0.12,1,1,1.0,1.0,1.0,1.0,0.0
8.0,11.33,0.71,840.0,2465.33,0.34,4.0,5.33,0.75,1,6,0.17,1.0,1.0,1.0,0.0
12.0,15.0,0.8,2592.0,3140.67,0.83,5.0,1.0,5.0,1,3,0.33,1.0,1.92,0.52,0.0
2.0,18.0,0.11,240.0,3600.0,0.07,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
2.0,10.6,0.19,216.0,1898.0,0.11,1.0,4.8,0.21,1,5,0.2,1.0,1.92,0.52,0.0
5.0,11.33,0.44,450.0,1956.0,0.23,3.0,5.33,0.56,1,3,0.33,1.0,1.0,1.0,0.0
9.0,13.0,0.69,900.0,1960.0,0.46,1.0,6.0,0.17,1,1,1.0,1.0,1.0,1.0,0.0
16.0,9.5,1.68,3024.0,1840.0,1.64,7.0,4.5,1.56,1,2,0.5,1.0,1.0,1.0,1.0
14.0,8.0,1.75,1848.0,875.0,2.11,6.0,4.0,1.5,1,1,1.0,1.0,1.0,1.0,1.0
13.0,16.0,0.81,1944.0,3780.0,0.51,6.0,7.0,0.86,1,1,1.0,1.0,1.0,1.0,1.0
13.0,8.5,1.53,1890.0,1728.0,1.09,6.0,4.0,1.5,1,2,0.5,1.0,1.0,1.0,0.0
16.0,4.0,4.0,1920.0,360.0,5.33,1.0,2.0,0.5,1,1,1.0,1.92,1.0,1.92,1.0
3.25,14.0,0.23,363.0,2800.0,0.13,1.0,6.0,0.17,4,1,4.0,1.0,1.0,1.0,0.0
11.0,7.0,1.57,1344.0,1095.0,1.23,1.0,3.25,0.31,1,4,0.25,1.0,1.0,1.0,0.0
4.0,11.25,0.36,360.0,1940.25,0.19,2.0,5.25,0.38,2,4,0.5,1.0,2.1799999999999997,0.46,0.0
3.0,17.0,0.18,270.0,3150.0,0.09,2.0,1.0,2.0,1,1,1.0,1.0,1.0,1.0,0.0
18.0,12.0,1.5,3696.0,2160.0,1.71,8.0,5.0,1.6,1,1,1.0,1.0,1.0,1.0,1.0
3.0,11.0,0.27,320.0,1400.0,0.23,2.0,5.0,0.4,1,1,1.0,1.0,1.0,1.0,0.0
13.17,5.12,2.57,2718.0,1159.5,2.34,1.0,2.75,0.36,6,8,0.75,1.0,1.76,0.57,1.0
10.0,13.5,0.74,1152.0,2520.0,0.46,1.0,6.0,0.17,1,2,0.5,1.8900000000000001,1.0,1.89,0.0
10.83,11.8,0.92,2618.0,2496.0,1.05,5.0,5.4,0.93,6,5,1.2,1.0,1.0,1.0,0.0
10.5,8.43,1.25,1710.17,1400.57,1.22,5.0,3.86,1.3,6,7,0.86,1.0,1.8399999999999999,0.54,1.0
7.0,11.0,0.64,720.0,1296.0,0.56,4.0,5.0,0.8,1,1,1.0,1.0,1.0,1.0,0.0
15.0,17.0,0.88,2400.0,3234.0,0.74,1.0,8.0,0.12,1,1,1.0,1.0,1.0,1.0,0.0
20.0,2.0,10.0,4900.0,225.0,21.78,9.0,1.0,9.0,1,1,1.0,1.0,1.8399999999999999,0.54,1.0
10.14,12.14,0.84,1954.29,1908.14,1.02,5.0,1.0,5.0,7,7,1.0,1.0,1.0,1.0,0.0
7.0,19.0,0.37,900.0,3888.0,0.23,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,0.0
17.0,8.0,2.12,3611.0,1032.0,3.5,7.67,1.0,7.67,3,2,1.5,1.0,1.0,1.0,1.0
8.0,10.38,0.77,1712.25,1510.88,1.13,4.0,4.62,0.87,8,8,1.0,2.2,1.0,2.2,1.0
17.0,11.86,1.43,3584.0,2347.43,1.53,1.0,5.43,0.18,1,7,0.14,1.0,1.8900000000000001,0.53,0.0
7.0,16.0,0.44,540.0,2304.0,0.23,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,0.0
14.0,13.0,1.08,2160.0,1792.0,1.21,6.0,6.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
18.0,10.0,1.8,3600.0,1350.0,2.67,8.0,4.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0
6.0,12.0,0.5,360.0,1920.0,0.19,1.0,5.0,0.2,1,1,1.0,1.0,1.0,1.0,0.0
11.0,10.0,1.1,1250.0,1225.0,1.02,5.0,4.0,1.25,1,1,1.0,1.0,1.0,1.0,1.0
14.0,12.88,1.09,1680.0,2987.88,0.56,1.0,6.0,0.17,1,8,0.12,1.0,1.8199999999999998,0.55,0.0
4.0,12.5,0.32,390.0,2936.25,0.13,2.5,5.75,0.43,2,4,0.5,1.0,1.94,0.52,0.0
5.75,2.0,2.88,863.0,276.0,3.13,2.88,1.5,1.92,8,2,4.0,1.94,1.8399999999999999,1.05,1.0
10.43,11.5,0.91,1668.71,1668.67,1.0,4.859999999999999,1.0,4.86,7,6,1.17,1.0,1.8199999999999998,0.55,0.0
17.0,19.0,0.89,3402.0,4536.0,0.75,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,0.0
7.0,8.67,0.81,1000.0,1430.0,0.7,4.0,4.33,0.92,1,3,0.33,1.0,1.9,0.53,0.0
2.0,17.0,0.12,240.0,4536.0,0.05,1.0,8.0,0.12,1,1,1.0,1.0,1.0,1.0,0.0
14.0,12.0,1.17,2750.0,1680.0,1.64,6.0,5.0,1.2,1,1,1.0,1.0,1.0,1.0,1.0
19.0,8.0,2.38,2904.0,567.0,5.12,9.0,1.0,9.0,1,1,1.0,1.0,1.92,0.52,0.0
16.0,3.0,5.33,2700.0,288.0,9.38,7.0,2.0,3.5,1,1,1.0,1.0,1.0,1.0,1.0
2.0,1.0,2.0,256.0,192.0,1.33,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
10.0,11.75,0.85,1225.0,2521.5,0.49,4.0,5.5,0.73,1,4,0.25,1.0,1.0,1.0,0.0
5.0,13.0,0.38,720.0,2058.0,0.35,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,0.0
4.75,14.17,0.34,462.75,2586.67,0.18,2.5,1.0,2.5,4,6,0.67,1.8,1.0,1.8,0.0
13.0,10.62,1.22,3366.0,1994.5,1.69,5.75,4.88,1.18,4,8,0.5,1.0,1.0,1.0,0.0
19.0,15.0,1.27,3960.0,2430.0,1.63,9.0,7.0,1.29,1,1,1.0,1.0,1.0,1.0,1.0
18.0,8.0,2.25,4704.0,840.0,5.6,8.0,4.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0
17.0,3.0,5.67,2400.0,270.0,8.89,8.0,1.0,8.0,1,1,1.0,1.0,1.0,1.0,1.0
14.0,9.0,1.56,3000.0,896.0,3.35,6.0,4.0,1.5,1,1,1.0,1.0,1.0,1.0,1.0
4.0,6.2,0.65,480.0,786.0,0.61,2.0,3.0,0.67,1,5,0.2,1.0,2.17,0.46,0.0
11.0,19.0,0.58,2272.5,5616.0,0.4,5.5,9.0,0.61,2,1,2.0,1.0,1.0,1.0,0.0
12.0,4.5,2.67,1512.0,637.5,2.37,5.0,2.5,2.0,1,2,0.5,1.0,1.0,1.0,1.0
10.5,12.33,0.85,1610.0,2022.67,0.8,4.75,5.67,0.84,4,3,1.33,1.78,1.0,1.78,1.0
6.0,10.83,0.55,540.0,1322.67,0.41,1.0,4.83,0.21,1,6,0.17,1.0,1.0,1.0,0.0
10.75,7.83,1.37,2129.25,1130.0,1.88,5.0,1.0,5.0,4,6,0.67,1.87,1.0,1.87,1.0
13.0,20.0,0.65,1750.0,5400.0,0.32,1.0,9.0,0.11,1,1,1.0,1.0,1.0,1.0,0.0
8.0,19.0,0.42,756.0,3888.0,0.19,4.0,9.0,0.44,1,1,1.0,1.0,1.0,1.0,0.0
5.0,19.0,0.26,640.0,3150.0,0.2,3.0,9.0,0.33,1,1,1.0,1.0,1.0,1.0,0.0
20.0,11.0,1.82,4928.0,1440.0,3.42,9.0,1.0,9.0,1,1,1.0,1.0,1.0,1.0,1.0
2.0,11.71,0.17,240.0,1832.0,0.13,1.0,1.0,1.0,1,7,0.14,1.0,1.92,0.52,0.0
12.0,11.5,1.04,1500.0,2233.5,0.67,1.0,5.5,0.18,1,4,0.25,1.0,1.0,1.0,0.0
19.0,16.0,1.19,4000.0,3780.0,1.06,1.0,7.0,0.14,1,1,1.0,1.0,1.0,1.0,0.0
12.5,7.0,1.79,2250.0,630.0,3.57,5.5,4.0,1.38,2,1,2.0,1.0,1.0,1.0,1.0
5.5,15.5,0.35,537.5,3309.0,0.16,1.0,7.0,0.14,2,4,0.5,1.8399999999999999,1.92,0.96,0.0
6.0,15.0,0.4,600.0,2560.0,0.23,3.0,7.0,0.43,1,1,1.0,1.0,1.0,1.0,0.0
10.0,12.33,0.81,945.0,2374.83,0.4,1.0,5.5,0.18,1,6,0.17,1.0,1.8900000000000001,0.53,0.0
1.0,7.0,0.14,192.0,630.0,0.3,1.0,4.0,0.25,1,1,1.0,1.88,1.0,1.88,0.0
3.0,7.0,0.43,288.0,900.0,0.32,1.0,4.0,0.25,1,1,1.0,1.0,1.78,0.56,0.0
10.0,12.86,0.78,1728.0,2375.57,0.73,4.0,1.0,4.0,1,7,0.14,1.0,1.0,1.0,0.0
8.0,7.14,1.12,1668.0,879.71,1.9,4.0,1.0,4.0,5,7,0.71,1.0,1.0,1.0,0.0
13.0,11.0,1.18,3072.0,2300.0,1.34,6.0,5.12,1.17,1,8,0.12,1.0,1.0,1.0,0.0
2.0,3.0,0.67,240.0,288.0,0.83,1.0,2.0,0.5,1,1,1.0,1.0,1.92,0.52,0.0
1.0,9.0,0.11,180.0,980.0,0.18,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,0.0
7.0,14.0,0.5,768.0,1701.0,0.45,4.0,6.0,0.67,1,1,1.0,1.0,1.0,1.0,0.0
10.0,16.0,0.62,1344.0,2940.0,0.46,4.0,1.0,4.0,1,1,1.0,1.9,1.0,1.9,0.0
6.0,18.0,0.33,560.0,3360.0,0.17,1.0,8.0,0.12,1,1,1.0,1.0,1.0,1.0,0.0
5.0,5.0,1.0,432.0,600.0,0.72,1.0,3.0,0.33,1,1,1.0,1.0,1.0,1.0,1.0
19.0,5.0,3.8,4480.0,600.0,7.47,9.0,3.0,3.0,1,1,1.0,1.0,1.0,1.0,1.0
11.25,6.0,1.88,2022.0,532.5,3.8,5.25,1.0,5.25,4,2,2.0,1.0,1.0,1.0,1.0
6.0,6.0,1.0,600.0,684.0,0.88,3.0,2.5,1.2,1,2,0.5,1.0,1.0,1.0,0.0
19.0,9.83,1.93,4536.0,1924.5,2.36,1.0,4.67,0.21,1,6,0.17,1.0,1.8199999999999998,0.55,0.0
7.0,2.0,3.5,640.0,216.0,2.96,4.0,1.0,4.0,1,1,1.0,1.0,1.0,1.0,1.0
10.0,7.75,1.29,1639.62,1056.0,1.55,4.62,3.5,1.32,8,4,2.0,1.8900000000000001,1.0,1.89,1.0
16.0,7.0,2.29,2800.0,900.0,3.11,7.0,4.0,1.75,1,1,1.0,1.8,1.0,1.8,1.0
5.0,7.0,0.71,750.0,700.0,1.07,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,1.0
8.25,7.8,1.06,1872.0,985.8,1.9,4.0,3.8,1.05,4,5,0.8,1.92,1.9,1.01,0.0
7.43,8.0,0.93,1091.43,1200.0,0.91,3.57,4.0,0.89,7,1,7.0,1.0,1.0,1.0,1.0
10.67,13.0,0.82,2631.0,2686.29,0.98,4.67,6.14,0.76,3,7,0.43,1.8399999999999999,1.9,0.97,0.0
13.0,10.5,1.24,1296.0,2195.67,0.59,1.0,4.83,0.21,1,6,0.17,1.8199999999999998,2.15,0.85,0.0
18.0,8.0,2.25,3840.0,1080.0,3.56,1.0,4.0,0.25,1,1,1.0,1.0,1.0,1.0,1.0
17.0,9.0,1.89,4536.0,1212.0,3.74,8.0,4.25,1.88,1,4,0.25,1.0,1.0,1.0,0.0
9.0,11.0,0.82,1050.0,2048.0,0.51,1.0,5.0,0.2,1,1,1.0,1.0,1.0,1.0,0.0
5.0,8.62,0.58,450.0,1216.75,0.37,3.0,4.0,0.75,1,8,0.12,1.0,1.0,1.0,0.0
17.0,5.0,3.4,4374.0,480.0,9.11,8.0,3.0,2.67,1,1,1.0,1.0,1.76,0.57,1.0
10.86,15.0,0.72,2365.71,2400.0,0.99,5.29,7.0,0.76,7,1,7.0,1.0,1.0,1.0,1.0
12.0,8.0,1.5,1715.0,840.0,2.04,5.0,1.0,5.0,1,1,1.0,1.0,1.0,1.0,1.0
3.0,1.0,3.0,288.0,180.0,1.6,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
18.0,9.5,1.89,3888.0,1683.0,2.31,1.0,1.0,1.0,1,6,0.17,1.8,1.0,1.8,0.0
14.5,16.75,0.87,2784.0,3858.0,0.72,6.5,7.5,0.87,2,4,0.5,1.8399999999999999,1.0,1.84,0.0
4.0,16.0,0.25,400.0,2475.0,0.16,2.0,1.0,2.0,1,1,1.0,1.0,1.0,1.0,0.0
1.0,19.0,0.05,180.0,4320.0,0.04,1.0,9.0,0.11,1,1,1.0,1.0,1.0,1.0,0.0
20.0,10.0,2.0,6552.0,972.0,6.74,9.0,4.0,2.25,1,1,1.0,1.0,1.0,1.0,1.0
5.0,18.0,0.28,450.0,5040.0,0.09,3.0,8.0,0.38,1,1,1.0,1.0,1.0,1.0,0.0
12.0,20.0,0.6,1728.0,4800.0,0.36,5.0,9.0,0.56,1,1,1.0,1.0,1.0,1.0,0.0
18.0,17.0,1.06,3465.0,2640.0,1.31,8.0,8.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
18.0,12.29,1.46,5200.0,2119.86,2.45,8.0,5.71,1.4,1,7,0.14,1.0,1.92,0.52,0.0
7.0,3.0,2.33,672.0,360.0,1.87,4.0,2.0,2.0,1,1,1.0,1.0,1.0,1.0,1.0
12.75,11.43,1.12,2186.0,1656.86,1.32,1.0,1.0,1.0,4,7,0.57,1.0,1.0,1.0,0.0
5.0,14.67,0.34,480.0,3335.0,0.14,1.0,6.33,0.16,1,3,0.33,1.0,1.0,1.0,0.0
5.43,12.0,0.45,598.86,2020.67,0.3,2.71,5.33,0.51,7,3,2.33,1.0,1.0,1.0,1.0
6.0,15.0,0.4,525.0,2744.0,0.19,3.0,1.0,3.0,1,1,1.0,1.0,1.0,1.0,0.0
2.0,11.0,0.18,240.0,1296.0,0.19,1.0,5.0,0.2,1,1,1.0,1.78,1.0,1.78,0.0
18.0,12.38,1.45,4032.0,2403.0,1.68,1.0,5.75,0.17,1,8,0.12,1.0,1.0,1.0,0.0
6.0,8.5,0.71,560.0,1342.67,0.42,3.0,3.83,0.78,1,6,0.17,1.0,1.94,0.52,0.0
