lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
10.0,8.0,1.25,1000.0,900.0,1.11,1.0,4.0,0.25,1,1,1.0,0.0
11.0,7.0,1.57,1344.0,960.0,1.4,5.0,4.0,1.25,1,1,1.0,1.0
9.0,18.0,0.5,1728.0,4400.0,0.39,4.0,8.0,0.5,1,1,1.0,0.0
20.0,17.0,1.18,6144.0,2184.0,2.81,9.0,8.0,1.12,1,1,1.0,1.0
1.0,6.0,0.17,192.0,560.0,0.34,1.0,3.0,0.33,1,1,1.0,0.0
9.5,8.0,1.19,1638.0,900.0,1.82,4.5,1.0,4.5,2,1,2.0,1.0
11.17,13.8,0.81,1828.0,2136.8,0.86,5.17,1.0,5.17,6,5,1.2,1.0
8.0,18.0,0.44,972.0,3645.0,0.27,4.0,1.0,4.0,1,1,1.0,0.0
7.0,3.0,2.33,900.0,320.0,2.81,4.0,2.0,2.0,1,1,1.0,1.0
8.0,6.0,1.33,1440.0,720.0,2.0,4.0,3.0,1.33,1,1,1.0,1.0
18.0,10.5,1.71,3797.5,2748.0,1.38,8.0,5.0,1.6,2,2,1.0,0.0
5.0,14.0,0.36,450.0,1800.0,0.25,3.0,6.0,0.5,1,1,1.0,0.0
1.0,14.0,0.07,180.0,2160.0,0.08,1.0,6.0,0.17,1,1,1.0,0.0
4.0,10.25,0.39,336.0,1767.0,0.19,2.0,4.75,0.42,1,4,0.25,0.0
9.0,15.0,0.6,1080.0,1950.0,0.55,1.0,7.0,0.14,1,1,1.0,0.0
17.0,12.67,1.34,4536.0,2211.17,2.05,8.0,5.67,1.41,1,6,0.17,0.0
7.4,15.0,0.49,860.4,2450.0,0.35,3.8,7.0,0.54,5,1,5.0,1.0
17.0,17.0,1.0,3234.0,4320.0,0.75,1.0,8.0,0.12,1,1,1.0,0.0
4.0,8.33,0.48,336.0,1406.67,0.24,1.0,4.17,0.24,1,6,0.17,0.0
11.86,12.0,0.99,1967.71,1615.0,1.22,5.29,5.5,0.96,7,4,1.75,1.0
13.0,9.5,1.37,2016.0,1554.0,1.3,6.0,4.5,1.33,1,4,0.25,0.0
20.0,12.0,1.67,7200.0,1680.0,4.29,9.0,5.0,1.8,1,1,1.0,1.0
5.0,2.0,2.5,480.0,240.0,2.0,3.0,1.0,3.0,1,1,1.0,1.0
10.0,7.5,1.33,1576.25,805.5,1.96,4.62,3.5,1.32,8,2,4.0,1.0
