     	n=2   	n=3   	n=4  	n=5  
lv.1 	0.0%  	0.0%  	0.0% 	0.0% 
lv.2 	0.0%  	0.0%  	0.0% 	0.0% 
lv.3 	0.0%  	0.0%  	0.0% 	0.0% 
lv.4 	2.0%  	0.0%  	0.0% 	0.0% 
lv.5 	8.0%  	0.0%  	0.0% 	0.0% 
lv.6 	25.0% 	0.0%  	0.0% 	0.0% 
lv.7 	49.0% 	2.0%  	0.0% 	0.0% 
lv.8 	61.0% 	10.0% 	0.0% 	0.0% 
lv.9 	49.0% 	3.0%  	0.0% 	0.0% 
lv.10	70.0% 	10.0% 	1.0% 	0.0% 
lv.11	77.0% 	11.0% 	0.0% 	0.0% 
lv.12	91.0% 	38.0% 	10.0%	0.0% 
lv.13	95.0% 	57.0% 	18.0%	1.0% 
lv.14	98.0% 	73.0% 	18.0%	4.0% 
lv.15	97.0% 	77.0% 	44.0%	13.0%
lv.16	100.0%	93.0% 	54.0%	19.0%
lv.17	100.0%	100.0%	64.0%	30.0%
lv.18	100.0%	97.0% 	76.0%	52.0%
lv.19	100.0%	98.0% 	84.0%	58.0%
lv.20	100.0%	100.0%	92.0%	69.0%
