lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
9.0,11.0,0.82,1080.0,1728.0,0.62,4.0,5.0,0.8,1,1,1.0,1.0
12.0,8.0,1.5,1680.0,756.0,2.22,5.0,4.0,1.25,1,1,1.0,1.0
7.0,15.0,0.47,720.0,2016.0,0.36,4.0,7.0,0.57,1,1,1.0,0.0
12.83,11.5,1.12,2290.0,1863.0,1.23,1.0,5.5,0.18,6,2,3.0,1.0
8.0,11.6,0.69,1050.0,1994.4,0.53,4.0,5.4,0.74,1,5,0.2,0.0
1.0,10.75,0.09,162.0,1734.88,0.09,1.0,1.0,1.0,1,8,0.12,0.0
5.0,12.75,0.39,480.0,3033.0,0.16,1.0,6.0,0.17,1,4,0.25,0.0
13.67,15.25,0.9,2493.33,3727.75,0.67,6.33,7.0,0.9,3,4,0.75,0.0
10.62,10.5,1.01,1570.38,2017.67,0.78,1.0,4.83,0.21,8,6,1.33,0.0
17.0,1.0,17.0,4704.0,180.0,26.13,8.0,1.0,8.0,1,1,1.0,1.0
11.25,17.0,0.66,1963.75,3528.0,0.56,5.25,1.0,5.25,4,1,4.0,1.0
8.0,13.0,0.62,840.0,1750.0,0.48,1.0,6.0,0.17,1,1,1.0,0.0
10.0,8.0,1.25,1200.0,900.0,1.33,4.0,4.0,1.0,1,1,1.0,1.0
2.0,6.5,0.31,240.0,798.5,0.3,1.0,3.0,0.33,1,2,0.5,0.0
11.0,11.67,0.94,1470.0,3141.17,0.47,1.0,5.33,0.19,1,6,0.17,0.0
11.0,8.6,1.28,2400.0,1368.8,1.75,5.0,4.2,1.19,1,5,0.2,0.0
7.0,2.0,3.5,1200.0,240.0,5.0,4.0,1.0,4.0,1,1,1.0,1.0
6.0,14.0,0.43,480.0,3520.0,0.14,1.0,6.67,0.15,1,3,0.33,0.0
15.0,11.83,1.27,3240.0,1758.67,1.84,7.0,5.33,1.31,1,6,0.17,0.0
7.0,17.0,0.41,640.0,4536.0,0.14,4.0,8.0,0.5,1,1,1.0,0.0
10.0,16.0,0.62,1225.0,5103.0,0.24,4.0,7.0,0.57,1,1,1.0,0.0
18.0,19.0,0.95,5832.0,5390.0,1.08,8.0,9.0,0.89,1,1,1.0,1.0
12.0,12.0,1.0,1155.0,1764.0,0.65,1.0,1.0,1.0,1,1,1.0,0.0
10.17,8.0,1.27,1476.33,1163.0,1.27,1.0,1.0,1.0,6,6,1.0,1.0
5.0,3.0,1.67,720.0,375.0,1.92,3.0,2.0,1.5,1,1,1.0,1.0
4.0,14.0,0.29,360.0,2160.0,0.17,2.0,6.0,0.33,1,1,1.0,0.0
14.0,15.0,0.93,2160.0,2592.0,0.83,6.0,7.0,0.86,1,1,1.0,0.0
10.0,10.0,1.0,1800.0,1152.0,1.56,4.0,1.0,4.0,1,1,1.0,1.0
1.0,8.0,0.12,192.0,1040.0,0.18,1.0,3.33,0.3,1,3,0.33,0.0
8.0,13.0,0.62,864.0,1600.0,0.54,4.0,6.0,0.67,1,1,1.0,0.0
19.0,9.0,2.11,4410.0,864.0,5.1,9.0,4.0,2.25,1,1,1.0,1.0
7.0,3.0,2.33,840.0,300.0,2.8,4.0,2.0,2.0,1,1,1.0,1.0
7.0,12.2,0.57,630.0,2303.6,0.27,1.0,1.0,1.0,1,5,0.2,0.0
4.0,11.38,0.35,450.0,1906.25,0.24,2.0,5.0,0.4,1,8,0.12,0.0
13.0,10.0,1.3,2803.5,1476.25,1.9,6.0,4.62,1.3,2,8,0.25,0.0
20.0,9.67,2.07,4851.0,1220.0,3.98,1.0,4.33,0.23,1,3,0.33,0.0
